"County_MetroArea","IncomeToRentRatio"
"LA Metro Area - Los Angeles County, CA",3.86967054263566
"LA Metro Area - Orange County, CA",4.19570538495772
"SF Bay Area - Santa Clara County, CA",4.87984248616433
"SF Bay Area - San Mateo County, CA",4.5881190178943
"SF Bay Area - San Francisco County, CA",4.23409498207885
"SF Bay Area - Alameda County, CA",4.66201189552625
"SF Bay Area - Contra Costa County, CA",4.80805860805861
"SF Bay Area - Marin County, CA",4.64982596232596
"SF Bay Area - San Mateo County, CA",4.5881190178943
"Atlanta Metro Area - Fulton County, GA",4.8795914864401
"Atlanta Metro Area - Gwinnett County, GA",5.02702927478377
"Atlanta Metro Area - Cobb County, GA",5.46885694729637
"Atlanta Metro Area - DeKalb County, GA",4.36907216494845
"Atlanta Metro Area - Clayton County, GA",3.8409004918653
"Atlanta Metro Area - Cherokee County, GA",5.61631596526386
"Chicago Metro Area - Cook County, IL",4.72031844929041
"Chicago Metro Area - DuPage County, IL",5.92444142512077
"Chicago Metro Area - Kane County, IL",5.88838075880759
"Chicago Metro Area - Will County, IL",6.45532383858935
"Chicago Metro Area - Lake County, IL",6.31678082191781
"Chicago Metro Area - McHenry County, IL",5.9414013732834